Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Brenda Fruhvirtova,66,16.7,1753.4,,1608.5,1603.6,1393.4,,1680.9,1678.5,1573.4,,2024 Australian Open Qual,16.7,1753.4,1746.9
Alina Korneeva,67,16.6,1751.8,,1696.9,1235.6,-,,1724.3,1493.7,1550.9,,2024 Hua Hin Qual,16.6,1762.3,1743.5
Sofia Kenin,68,25.2,1751.4,,1647.8,1541.6,1566.0,,1699.6,1646.5,1658.7,,2020 Fed Cup QLS R1,21.2,2049.8,
Viktorija Golubic,69,31.2,1751.1,,1692.1,1427.9,1580.0,,1721.6,1589.5,1665.6,,2021 Tokyo Olympics R64,28.7,1828.9,1680.8
Bernarda Pera,70,29.1,1748.9,,1625.1,1730.2,1314.3,,1687.0,1739.6,1531.6,,2022 Cleveland QF,27.7,1843.2,1722.6
Magdalena Frech,71,26.1,1748.7,,1647.1,1588.1,1533.7,,1697.9,1668.4,1641.2,,2024 Doha Qual,26.1,1755.9,1769.3
Vera Zvonareva,72,39.4,1746.6,,1663.4,1596.3,1578.7,,1705.0,1671.5,1662.6,,2009 Miami R64,24.5,2191.3,
Storm Sanders,73,29.4,1741.0,,1651.4,1535.8,1467.0,,1696.2,1638.4,1604.0,,2024 Mumbai 125 SF,29.4,1761.5,1744.3
Lauren Davis,74,29.9,1740.2,,1654.7,1598.6,1476.5,,1697.4,1669.4,1608.3,,2017 Indian Wells R32,23.4,1902.3,
Diana Shnaider,75,19.8,1739.3,,1687.2,1576.1,1332.3,,1713.2,1657.7,1535.8,,2024 Doha Qual,19.8,1760.8,1743.0
Elisabetta Cocciaretto,76,23.0,1738.0,,1568.8,1744.4,1474.6,,1653.4,1741.2,1606.3,,2023 Lausanne F,22.4,1848.3,1579.5
Magda Linette,77,32.0,1736.1,,1659.4,1540.1,1497.3,,1697.8,1638.1,1616.7,,2023 Merida R32,31.0,1859.3,1606.5
Kaja Juvan,78,23.1,1729.4,,1643.9,1588.0,1626.0,,1686.6,1658.7,1677.7,,2022 Strasbourg SF,21.4,1832.5,
Yue Yuan,79,25.3,1728.7,,1653.3,1455.7,1455.7,,1691.0,1592.2,1592.2,,2024 Hobart QF,25.2,1776.1,1704.1
Barbora Strycova,80,37.4,1728.6,,1608.0,1640.1,1639.2,,1668.3,1684.4,1683.9,,2017 Australian Open R32,30.8,1961.3,
Jennifer Brady,81,28.4,1728.0,,1656.3,1500.0,1498.3,,1692.2,1614.0,1613.2,,2021 Australian Open SF,25.8,1996.0,
Erika Andreeva,82,19.6,1726.1,,1639.3,1477.6,1367.2,,1682.7,1601.9,1546.7,,2024 Doha R64,19.6,1735.7,1716.2
Cristina Bucsa,83,26.0,1724.8,,1665.0,1483.6,1398.5,,1694.9,1604.2,1561.7,,2023 Stuttgart R32,25.2,1740.3,1686.6
Xiyu Wang,84,22.8,1723.8,,1613.0,1613.6,1413.9,,1668.4,1668.7,1568.8,,2023 Guangzhou F,22.4,1774.6,1609.9
Marina Stakusic,85,18.9,1722.1,,1662.9,1230.0,-,,1692.5,1476.1,1536.1,,2023 BJK Cup Finals F,18.9,1722.1,
Aliaksandra Sasnovich,86,29.8,1722.1,,1630.1,1571.5,1437.6,,1676.1,1646.8,1579.8,,2019 Australian Open R64,24.8,1944.0,1549.3
Elena Gabriela Ruse,87,26.1,1720.8,,1669.5,1524.7,1474.8,,1695.1,1622.7,1597.8,,2022 Dubai R32,24.2,1849.4,
Mccartney Kessler,88,24.5,1713.6,,1603.8,1297.8,-,,1658.7,1505.7,1531.8,,2024 W75 Rome GA F,24.5,1713.6,1736.7
Martina Trevisan,89,30.2,1710.1,,1596.6,1664.6,1153.4,,1653.4,1687.4,1431.7,,2023 Hong Kong QF,29.9,1797.5,
Julia Avdeeva,90,21.6,1706.0,,1501.3,1219.7,-,,1603.7,1462.9,1528.0,,2024 W75 Altenkirchen F,21.6,1706.0,1766.3
Anna Blinkova,91,25.4,1704.3,,1587.7,1609.7,1535.9,,1646.0,1657.0,1620.1,,2020 Shenzhen R32,21.3,1804.7,1573.3
Mayar Sherif,92,27.6,1703.7,,1410.2,1770.0,1382.3,,1556.9,1736.8,1543.0,,2023 Bad Homburg R32,27.1,1847.4,
Yafan Wang,93,29.7,1702.6,,1677.6,1355.4,1440.1,,1690.1,1529.0,1571.3,,2019 Miami R32,24.8,1810.2,1735.7
Greet Minnen,94,26.4,1702.2,,1583.7,1586.3,1539.5,,1642.9,1644.3,1620.9,,2020 Doha Qual,22.5,1785.8,1600.8
Nuria Parrizas Diaz,95,32.5,1699.7,,1658.6,1542.6,1205.0,,1679.2,1621.2,1452.4,,2022 Monterrey QF,30.6,1755.7,1697.0
Rebeka Masarova,96,24.5,1697.6,,1578.0,1601.8,1405.7,,1637.8,1649.7,1551.6,,2023 Madrid R64,23.7,1799.8,
Caty Mcnally,97,22.2,1694.7,,1594.0,1545.9,1474.5,,1644.3,1620.3,1584.6,,2019 Indian Wells Qual,17.2,1799.8,
Arantxa Rus,98,33.1,1693.4,,1572.8,1671.5,1370.8,,1633.1,1682.4,1532.1,,2011 Cuneo 100K SF,20.5,1769.7,1685.4
Kaia Kanepi,99,38.5,1693.4,,1632.1,1611.7,1426.9,,1662.7,1652.5,1560.1,,2010 Beijing R64,25.3,1993.8,
Yanina Wickmayer,100,34.2,1691.7,,1572.0,1455.4,1605.2,,1631.8,1573.5,1648.4,,2010 Fed Cup WG2 R1,20.2,2097.4,
Yuliia Starodubtseva,101,23.9,1691.1,,1649.7,1389.6,-,,1670.4,1540.3,1520.5,,2023 W60 Dallas R32,23.4,1725.6,1655.1
