Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jan Lennard Struff,80,35.2,1740.8,,90,1660.0,66,1706.8,67,1643.7,,1935.1,2024-07,,143,-0.58,1684.7
Yoshihito Nishioka,81,29.8,1736.9,,60,1723.8,109,1642.4,121,1563.9,,1884.7,2023-01,,130,-0.47,1622.9
Camilo Ugo Carabelli,82,26.1,1735.7,,128,1609.8,53,1730.0,209,1484.5,,1771.9,2025-05,,47,0.56,1732.5
Pablo Carreno Busta,83,34.0,1728.9,,59,1726.1,70,1700.1,125,1562.2,,2005.1,2021-08,,93,-0.11,1643.0
Roman Safiullin,84,27.9,1728.9,,64,1718.5,93,1668.1,104,1599.7,,1911.3,2024-01,,80,0.05,1609.7
Kamil Majchrzak,85,29.5,1728.1,,79,1689.9,71,1699.3,62,1649.7,,1810.1,2025-04,,88,-0.03,1683.7
Botic Van De Zandschulp,86,29.8,1727.7,,71,1699.2,86,1679.6,112,1584.8,,1938.0,2022-09,,92,-0.07,1709.8
Zhizhen Zhang,87,28.3,1727.2,,97,1650.9,54,1728.4,89,1614.6,,1830.9,2024-09,,165,-0.64,1598.0
Arthur Rinderknech,88,30.0,1720.9,,100,1648.3,92,1670.3,69,1640.7,,1869.2,2022-10,,70,0.23,1714.0
Dominik Koepfer,89,30.7,1719.9,,83,1669.9,63,1712.3,90,1613.0,,1822.7,2024-03,,456,-1.63,1561.7
Yannick Hanfmann,90,33.7,1719.6,,111,1627.5,74,1697.6,92,1612.0,,1843.4,2023-06,,132,-0.38,1776.7
Tomas Martin Etcheverry,91,26.0,1719.2,,80,1689.8,78,1690.4,148,1539.0,,1871.7,2023-05,,58,0.45,1674.6
Roberto Carballes Baena,92,32.3,1717.4,,86,1664.9,79,1688.3,135,1548.5,,1788.1,2024-07,,87,0.06,1641.5
Daniel Altmaier,93,26.8,1714.2,,109,1630.9,68,1703.3,134,1549.8,,1789.1,2021-08,,60,0.44,1701.2
Mackenzie Mcdonald,94,30.2,1712.8,,70,1700.2,169,1552.6,91,1612.8,,1847.6,2023-03,,95,-0.01,1696.8
Jesper De Jong,95,25.1,1711.7,,117,1622.3,65,1708.0,149,1536.8,,1727.5,2025-07,,79,0.18,1734.0
Quentin Halys,96,28.7,1709.7,,82,1674.9,99,1661.5,74,1636.3,,1811.4,2023-04,,68,0.34,1609.5
Lukas Klein,97,27.3,1709.5,,106,1635.3,87,1678.1,93,1611.4,,1777.5,2024-03,,122,-0.23,1781.8
Francisco Comesana,98,24.8,1709.3,,122,1616.0,81,1687.0,119,1567.6,,1741.0,2025-05,,71,0.32,1722.6
Otto Virtanen,99,23.9,1708.3,,114,1625.1,171,1550.2,45,1691.7,,1768.8,2024-03,,117,-0.17,1769.2
Titouan Droguet,100,24.0,1705.9,,148,1583.2,77,1692.1,105,1596.1,,1722.4,2025-07,,161,-0.48,1747.2
Zachary Svajda,101,22.6,1704.5,,119,1620.7,196,1513.8,44,1694.4,,1769.0,2023-10,,133,-0.28,1801.4
Cristian Garin,102,29.1,1695.3,,107,1633.0,88,1675.9,78,1631.5,,1889.6,2019-04,,121,-0.17,1684.2
Damir Dzumhur,103,33.1,1694.6,,116,1624.3,80,1687.1,129,1560.6,,1895.8,2017-09,,56,0.61,1704.9
Vit Kopriva,104,28.1,1693.6,,124,1613.3,91,1670.8,113,1580.3,,1760.5,2025-05,,81,0.25,1676.3
Tristan Schoolkate,105,24.4,1693.5,,91,1657.9,307,1409.8,77,1632.6,,1703.1,2025-07,,97,0.08,1721.8
Aleksandar Vukic,106,29.3,1693.4,,96,1651.0,152,1575.2,99,1604.5,,1773.3,2025-01,,94,0.12,1698.8
Sebastian Baez,107,24.5,1693.0,,155,1574.0,75,1694.5,171,1513.0,,1941.4,2022-07,,43,0.91,1609.8
Benjamin Bonzi,108,29.1,1691.5,,87,1663.5,143,1583.5,88,1614.9,,1835.8,2022-06,,63,0.54,1583.7
Nicolai Budkov Kjaer,109,18.9,1690.8,,89,1662.1,107,1644.7,141,1545.1,,1690.8,2025-07,,163,-0.40,1701.4
Borna Gojo,110,27.3,1689.4,,85,1666.9,102,1653.6,227,1471.4,,1800.2,2023-10,,219,-0.69,1616.0
Stan Wawrinka,111,40.3,1686.6,,84,1667.4,111,1638.2,108,1594.1,,2145.5,2016-01,,152,-0.31,1570.2
Christopher Oconnell,112,31.1,1686.4,,72,1698.9,124,1617.8,138,1547.3,,1814.1,2025-03,,77,0.37,1589.9
Elmer Moller,113,22.0,1685.5,,193,1528.2,95,1664.5,117,1571.8,,1741.1,2025-04,,111,0.02,1693.0
Guy Den Ouden,114,23.3,1680.2,,331,1383.6,90,1673.4,182,1500.5,,1704.3,2025-07,,157,-0.32,1718.0
Lloyd Harris,115,28.4,1679.0,,113,1625.6,153,1572.9,73,1636.4,,1896.0,2021-10,,376,-1.18,1625.8
Emilio Nava,116,23.6,1678.0,,143,1592.6,117,1631.0,124,1562.7,,1713.5,2025-04,,105,0.10,1712.6
Adam Walton,117,26.2,1676.5,,93,1656.8,220,1490.4,178,1507.7,,1747.1,2025-04,,85,0.32,1675.9
